link|timestamps|res|fps|abr
https://www.youtube.com/watch?v=OQfusjHRO4s|[[00:39,01:24]]|144|30|50
https://www.youtube.com/watch?v=Ce_BXD_ONQ8|[[00:00,01:38]]|144|30|50
https://www.youtube.com/watch?v=cKTzseniZzs|[[00:00,01:13]]|144|30|50
https://www.youtube.com/watch?v=zfFJ5iOSrMU|[[00:00,02:39]]|144|30|50
https://www.youtube.com/watch?v=mr834Cs9ncs|[[00:16,02:12]]|144|30|50
https://www.youtube.com/watch?v=ZZY-Ytrw2co|[[01:04,01:37]]|144|30|50
https://www.youtube.com/watch?v=Cfu9s89C-pc|[[00:55,01:41]]|144|30|50
https://www.youtube.com/watch?v=H1MzGHGwP90|[[02:06,03:38]]|144|30|50
https://www.youtube.com/watch?v=q2Xi3ioasik|[[00:16,01:18]]|144|30|50
https://www.youtube.com/watch?v=lWz8NGIisMo|[[00:49,01:35]]|144|30|50
https://www.youtube.com/watch?v=z92bykaeV4o|[[00:19,02:35]]|144|30|50
https://www.youtube.com/watch?v=0_UU_aqeKl4|[[00:00,00:37]]|144|30|50
https://www.youtube.com/watch?v=or4o4Qwsn0s|[[02:38,03:11]]|144|30|50
https://www.youtube.com/watch?v=9lb5LdJ7cLc|[[00:53,03:02]]|144|30|50
https://www.youtube.com/watch?v=ahFARm2j38c|[[03:59,04:45]]|144|30|50
https://www.youtube.com/watch?v=w3ruUJSgtzY|[[01:31,02:16]]|144|30|50
https://www.youtube.com/watch?v=cIpTE-aHEZ0|[[00:49,02:14]]|144|30|50
https://www.youtube.com/watch?v=RAvoR20o9s4|[[01:25,02:14]]|144|30|50
https://www.youtube.com/watch?v=0ZoSYsNADtY|[[03:16,03:59]]|144|30|50
https://www.youtube.com/watch?v=ou6JNQwPWE0|[[01:08,08:52]]|144|30|50
https://www.youtube.com/watch?v=ypEaGQb6dJk|[[06:17,07:39]]|144|30|50
https://www.youtube.com/watch?v=qzuM2XTnpSA|[[01:24,01:50]]|144|30|50
https://www.youtube.com/watch?v=futq_Lrayes|[[00:19,01:31]]|144|30|50
https://www.youtube.com/watch?v=KlsfM2BmsJU|[[00:00,00:49]]|144|30|50
https://www.youtube.com/watch?v=T5qajitmZd0|[[02:24,03:24]]|144|30|50
https://www.youtube.com/watch?v=gOpXt30kZCw&t=25s|[[01:54,03:07]]|144|30|50
https://www.youtube.com/watch?v=UIkWIg0bV5Y|[[00:40,03:00]]|144|30|50
https://www.youtube.com/watch?v=CIrvSJwwJUE|[[00:26,02:26]]|144|30|50
https://www.youtube.com/watch?v=elQ1SSyTjk4|[[00:00,01:16]]|144|30|50
https://www.youtube.com/watch?v=SIxvwa1t-yA|[[01:41,03:48]]|144|30|50
https://www.youtube.com/watch?v=SUS0TR0M0iA|[[00:00,01:59]]|144|30|50
https://www.youtube.com/watch?v=J1cDECkN2xg|[[00:00,01:22]]|144|30|50
https://www.youtube.com/watch?v=J1cDECkN2xg|[[01:58,03:34]]|144|30|50
https://www.youtube.com/watch?v=qgQfm0yW9aE|[[00:54,02:00]]|144|30|50
https://www.youtube.com/watch?v=_Nc8eLO4K_g|[[00:15,00:56]]|144|30|50
https://www.youtube.com/watch?v=m8-vMP2_K7k|[[00:08,01:29]]|144|30|50
https://www.youtube.com/watch?v=m8-vMP2_K7k|[[01:33,02:28]]|144|30|50
https://www.youtube.com/watch?v=q9tMSfC7E38|[[00:03,02:00]]|144|30|50
https://www.youtube.com/watch?v=1_TZEsUhXRs|[[00:04,00:32]]|144|30|50
https://www.youtube.com/watch?v=WZ7UwnfQ2nA|[[00:11,01:04]]|144|30|50
https://www.youtube.com/watch?v=byiGKBzIu-8|[[00:35,01:20]]|144|30|50
