Film,URL,Start,End,Comment,Genres,,Video duration in sec:,20,Current number of clips:,737
300,https://www.youtube.com/watch?v=7tH1FzD1YY8&feature=youtu.be,0:01,0:45,"300 - ""Goodbye My Love. He Doesn't Say It"" - Leonidas Farewells Queen Gorgo","Action, Drama",,,2,,
300,https://www.youtube.com/watch?v=5okHkftNTqM,0:55,1:26,"Spartans Part II "" Astenios' Death ""","Action, Drama",,,1,,
2001 A space odyssey,https://www.youtube.com/watch?v=Imbxqv_5TJU,0:00,2:40,2001 A space odyssey (beyond Saturn),"Adventure, Sci-Fi",,,8,,
2001 A space odyssey,https://www.youtube.com/watch?v=0ZoSYsNADtY,3:16,3:59,2001 A space odyssey (strauss),"Adventure, Sci-Fi",,,2,,
2001 A space odyssey,https://www.youtube.com/watch?v=ypEaGQb6dJk,6:17,7:39,2001 A space odyssey (dawn of man),"Adventure, Sci-Fi",,,4,,
3 idiots,https://www.youtube.com/watch?v=yJ1uLVgv3Vg,0:33,1:33,Bollywood Zoobi Doobi 3 Idiots (1),"Comedy, Drama",,,3,,
3 idiots,https://www.youtube.com/watch?v=yJ1uLVgv3Vg,2:06,4:04,Bollywood Zoobi Doobi 3 Idiots (2),"Comedy, Drama",,,5,,
3:10 to Yuma,https://www.youtube.com/watch?v=ojMr_543ucg,4:30,5:18,the last train to yuma (the end),"Action, Crime, Drama, Western",,,2,,
8 Mile 2002,https://www.youtube.com/watch?v=DHMF-bVxlkc,0:18,0:38,Rabbit_Battles_Lil_Tic_Scene_1_10_Movieclips,"Drama, Music",,,1,,
8 Mile 2002,https://www.youtube.com/watch?v=F2hiFbuQ-Qw,1:56,2:16,Rabbit_Battles_Papa_Doc_Scene_10_10_Movieclips,"Drama, Music",,,1,,
8 Mile 2002,https://www.youtube.com/watch?v=F2hiFbuQ-Qw,1:08,1:28,Rabbit_Battles_Papa_Doc_Scene_10_10_Movieclips,"Drama, Music",,,1,,
Ace Ventura: When Nature Calls,https://www.youtube.com/watch?v=LGxgRSwws3Q,0:00,0:32,Ace Ventura: When Nature Calls (Monster truck),"Adventure, Comedy, Crime",,,1,,
Alice in Wonderland,https://www.youtube.com/watch?v=gftRJdhhEVs&feature=share&fbclid=IwAR1jafJOYCKr9mQ5cKSHJJds-8pzHgTs4CLJAXW6ZJF7FnBtPTq7dUtmrww,0:00,0:30,Alice in Wonderland,"Adventure, Family, Fantasy",,,1,,
Almost Famous,https://www.youtube.com/watch?v=_qW9wqUI4Lg,1:38,2:28,Almost Famous,"Adventure, Comedy, Drama",,,2,,
American beauty,https://www.youtube.com/watch?v=8a90BAwsvlA,1:07,2:04,American Beauty (dance fantasy),Drama,,,2,,
American beauty,https://www.youtube.com/watch?v=Qssvnjj5Moo,2:26,3:06,American Beauty (makeout),Drama,,,2,,
Apocalypse Now,https://www.youtube.com/watch?v=KlsfM2BmsJU,0:00,0:49,Apocalypse Now,"Drama, Mystery, War",,,2,,
Apocalypse Now,https://www.youtube.com/watch?v=CIrvSJwwJUE,0:26,2:26,Apocalypse Now (the end),"Drama, Mystery, War",,,6,,
Avengers Endgame,https://www.youtube.com/watch?v=VUTEl1CoHVM,2:28,3:20,Avengers Endgame (Avengers Assemble),"Action, Adventure, Drama",,,2,,
Bahubali,https://www.youtube.com/watch?v=UFE5XWXF8Z4,0:00,1:00,Bahubali (1),"Action, Drama",,,3,,
